region,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020
강원도,0,0,0,0,0,0,0,0,0
경기도,16366634,15880318,16322448,17657037,19608343,20458745,22017982,25684198,23678894
경상남도,0,0,0,0,0,0,0,0,0
경상북도,0,0,0,0,0,0,0,0,0
광주광역시,0,0,0,0,0,0,0,0,0
대구광역시,8830004,9453744,11001934,12364259,12257492,12826133,13582779,13471369,14286239
대전광역시,8408909,8520085,8561376,8506557,8743648,9173932,9089481,9535104,11866046
부산광역시,0,0,15179772,17695371,20137807,23075709,22773428,25042625,29677349
서울특별시,21564691,21916229,22790607,23997526,26552414,30148579,34501831,45069240,46929123
세종특별자치시,10298128,10819159,12001072,12119308,12779788,13517637,14427241,14970206,17341962
울산광역시,11849711,12121037,12521420,13711259,14657101,14535390,13549621,12940940,14115973
인천광역시,10294925,11439595,12121884,12866083,13798448,14652944,15399060,16303471,17015426
전라남도,0,0,0,0,0,0,0,0,0
전라북도,0,0,0,0,0,0,0,0,0
제주특별자치도,0,0,0,0,0,0,0,0,0
충청남도,0,0,0,0,0,0,0,12345614,0
충청북도,5757438,5416174,5145296,6080222,5805752,5484103,5413146,4794881,4936382
